Name,Category,Weight,HealthRisk,LifeExpectancy,Coat,GroomingIntensity,MonthlyCost,Trainability,ActivityLevel,Purpose,Content,AdditionalContent
Cane Corso,Protective & Guarding Chilled Out & Relaxed ,45-50 kg,Medium,10-11 years,Short,Low,very high,Medium,Low,,"The Cane Corso, also know as the Italian Mastiff, is a very impressive animal with a large body mass, which was required when they were used to assist with pig hunting in the past. These days they are not used as much for hunting, but have found their way into our homes as a pet.    Some Cane Corsos still have some have an immense prey drive, which needs to be well managed through a capable handler. This breed will be happiest when having lots of space to run around and isn’t made for city living, or for the novice dog owner.    The Cane Corso needs a human who is a good leader that can go with him on long walks, and will also willingly share their couch with him! . They love affection and will try to impose their body mass of up to 80kg on you when they feel like it! Their impressive facial expressions will tell you exactly what they feel and express their current moods.    Cane Corsos make fantastic watchdogs and can easily keep unwanted guests away. You can rest easy that their overall presence and majestic statute will scare away any intruder.",
Cavalier King Charles Spaniel,Small & Cute Family & Kid Friendly ,5.5-8 kg,Medium,9-14 years,Medium,High,Low,High,Medium,,"Cavalier King Charles Spaniels are easy to love! They enjoy anything from taking long walks to sitting with you on the couch for hours. This breed likes to please and whatever you do they will want take part in and won't leave your side.    As this breed simply adjusts happily to their owner's lifestyle, they are a great fit for anybody - old or young, with kids or without. They make fabulous companion animals and are ideal for first-time dog owners. You won't be disappointed when raising and training your new family member.    They have a soft and gentle temperament, hardly ever bark and, being small, make great apartment dogs.    People often fall in love with their looks too. Their floppy ears, big bulbous eyes and petite stubby noses make them a very handsome small breed. And if you're a fan of constant tail wags, this is the breed for you.",
Cavoodle (Cavapoo),Small & Cute Family & Kid Friendly Low Shedding ,5-12 kg,Low,10-14 years,Medium,High,Low,High,Medium,,"A Cavoodle is what is known as a designer or hybrid breed - a cross between a Cavalier Kings Charles and a Poodle. Their curly hair, floppy ears and prettyeyes mostly covered by a fringe give them a sweet innocent teddy bear look.    Cavoodles are becoming very popular family dogs due to their many appealing qualities. Don't expect a couch potato, but rather a small lively dog that will bring fun and action to your family. They love to play, are eager to please and are quite easy to train, as they are intelligent. Even though they are full of energy, they still enjoy a cuddle or two at night with their family.    If they do not get enough stimulation, Cavoodles will find themselves something to do, which might not be something their owners will be happy with!    The Cavoodle is a low shedding dog, but their fur requires regular grooming. It's a good idea to brush this dog daily or their fur may get matted.",
Chesapeake Bay Retriever,Active & Energetic Family & Kid Friendly Smart & Trainable ,30-36 kg,Medium,10-12 years ,Short,Low,high,High,High,,"This breed, which originated in the USA, was traditionally used for hunting geese and ducks. Chesapeake Bay Retrievers are more common in America than in Europe or Australia, so you may have to search for a breeder if you are interested in getting one.    As they are such skilled retrieving working dogs, they are now used for other work, like search and rescue in water. They are not only brave but also show endurance and are built robustly.    Chesapeake Bay Retrievers’ face and head shape looks like that of a Labrador Retriever, but they have wavy hair on some parts of their body and very oily skin. Their undercoat is so thick that water won’t penetrate the skin and they can swim in icy water without getting cold.    As a family dog they are only suitable when given enough stimulation. If they don’t get enough stimulation, they can become over-protective and guarding, especially if they feel the need to run and protect the pack if there are no clear hierarchy structures.    If their position in the family is clear and their work ethic met, they will make friendly, devoted and loving family dogs. However they will not usually be interested in strangers when they want a cuddle (which they often will, as they have that friendly retriever smile from ear to ear).",
Chihuahua,Small & Cute ,1.7-3 kg,Low,10-18 years,Medium,Medium,Low,Medium,High,,"Who can resist a cute 3 kg pocket rocket with pointy bat ears and big eyes? The Chihuahua is one of the smallest dog breeds in the world. You wouldn't think so, but they are brave, active, sensible dogs that require lots of exercise. Think of them as a Rottweiler in a tiny body!    Their small size and cute looks make them a popular dog breed, and they are often seen nowadays as a fashion accessory - carried around in handbags and treated like a soft toy.    Unfortunately Chihuahuas do not enjoy this type of treatment. They need a minimum of two hours' exercise a day in order to be happy. If Chihuahuas do not get the exercise they need, they can easily turn into annoying aggressive-sounding barkers.    Chihuahuas can be great apartment dogs, due to their size. They will also sound like a beefy watchdog protecting you and your pack when visitors come to the door!",
Chinese Crested,Small & Cute Low Shedding ,2.3-5.4 kg,Medium,13-15 years,Long,Low,very low,Low,Low,,"The Chinese Crested is a breed of exotic looking and very small dog that can weigh up to a maximum of 5.5kg. This breed can come without fur (‘Hairless’) or with fur (‘Powder Puff’). Hairless Chinese Cresteds - which usually do have some hair on their head, paws and tail - are the more desirable version of the breed.    Chinese Cresteds might look fragile but you’d be surprised how robust these little dogs are. They adapt easily to new situations and aren’t as complicated to look after as their fancy looks may suggest.    They are happy and confident little dogs that will provide lots of pleasure and are sure to provide great entertainment for their owners. Chinese Cresteds are very loyal companions and their favourite place is sure to be by the side of their owners.    They are comedians who love to entertain and play with their families. But Chinese Cresteds will also enjoy hours of cuddling, lying on you like a heat pack and enjoying a scratch behind the ears.    They are more reserved towards strangers and may seem arrogant. But they are simply taking their time to assess the situation and choosing to only give devotion and love to their owners rather than to strangers.    This breed enjoys walks but doesn’t require much exercise at all - playing and doing tricks is more up their alley. They are easy to raise and train but are talented at getting their owners to do things their way!",
Chow Chow,Protective & Guarding Chilled Out & Relaxed ,25-32 kg,High,9-12 years,Long,High,Above average,Low,High,,"The Chow Chow's cuddly looks matched with their docile behaviour may make them look like the perfect family dog, but they are not recommended for first-time dog owners. They require strict rules, lots of exercise and can be a bit touchy with other dogs.    Chow Chows have a huge desire for freedom and will push boundaries on a daily basis. This breed is very willful, self-determined and therefore not easy to train. Chow Chows behave like cats in that they prefer to keep some self-autonomy. Despite their looks, they actually don't enjoy snuggling.    Chow Chows like to bond with one person and are the ideal breed for a single-person household. They can be protective and are quite alert. They are wary of strangers and prefer to be left alone when guests come over.    These dogs need a good dose of daily exercise, but don't cope well with heat due to their very thick fluffy coat.",
Clumber Spaniel,Active & Energetic ,32-39 kg,Medium,10-12 years,Medium,Low,high,Low,High,,"    The Clumber Spaniel is a spaniel that was originally used to find and retrieve game birds for hunters. Clumber Spaniels tend to like one person only and have regular mood swings. They can be “Happy as Larry” one minute and the next won’t even look at you. It’s just like living with a teenager…you have no idea what their mood is going to be at any given time!    Because of their mood swings, Clumber Spaniels are not very popular as family dogs. They tend to look rather serious and when guests enter your house will often pretend they don’t exist. They love their one owner and feel happiest if they can be with that person all the time (just not when they are in their moody phase, when they prefer to be left alone).    Clumber Spaniels love to slobber, snore and wheeze - preferably all at the same time. One might think they do it to keep people away, but that’s just standard behaviour for a Clumber Spaniel. They tend to like their food a bit too much and we recommend to watching their waistline to avoid health problems. Their ears and coat need to be looked after regularly.",
Cockapoo (Spoodle),Small & Cute Family & Kid Friendly Low Shedding ,5-14 kg,Medium,12-15 years,Medium,High,Below average,High,High,,"Cockapoos (also known as Spoodles)are a mix between a Cocker Spaniel and a Poodle, which makes them very handsome looking dogs. Their coats can range from light curly to curly - as there is no breed standard it will depend on how dominant this trait is in the puppy's parents. This hybrid breed also comes in various sizes, depending on the size of the Poodle in the mix.    Spoodles are very friendly dogs that show a lot of patience towards children and adults alike. They can play for hours with their humans and don't mind fetching the ball a hundred times or even retrieving it out of the water. Being in water is something they especially enjoy. New situations and encounters are managed fearlessly and Spoodles tend to adjust easily to any new situation.    They are also easy to train, as they have inherited lots of intelligence from their Poodle side (and good looks from their Cocker side!) ... a match that will make you fall in love with this breed.    Spoodles are great for novice dog owners as long they understand that this hybrid breed needs a good amount of daily exercise. Otherwise you might end up with a chewed table leg or two!",
Cocker Spaniel,Family & Kid Friendly Active & Energetic ,13-15 kg,Medium,12-15 years,Medium,High,Average,High,High,,"The Cocker Spaniel's trademarks are those enormous ears that are almost guaranteed to fall into theirwater bowl. Did you know that you can even buy special bowls to ensure their ears stay dry when drinking?    Cocker Spaniels are affectionate, loyal and energetic dogs. They are great with children, the elderly and other pets, as long as they are socialised and trained from an early age.    They make fantastic family dogs, as they love to play and burn energy that way. To keep them out of trouble, make sure they get plenty of exercise and mental stimulation through some agility, K9 Nose work or other dog sport.    Cocker Spaniels have an excellent sense of smell. You could hold their nose and they would still be able to smell something far, far away that they want to run to and investigate. For this reason they are often used for drug detection services. If you're planning on getting one we suggest you invest in a good a lead and teach them to come back to you!",
Collie (Rough),Family & Kid Friendly Smart & Trainable ,27-34 kg,Medium,14-16 years,Long,High,Average,High,Medium,,"Most of us who watched the 1950s TV series 'Lassie' fell in love with this beautiful breed.    Collies make great family dogs - they are loyal, trainable, obedient, and clingy. But we warn you - owning a Collie is about more than owning a companion dog. Collies want to be a part of every aspect of your life and every activity that you are involved in.    This breed is extremely intelligent and often will only need to see something once to master it. Sometimes this can make it hard for the owners - simple ball throwing and retrieving won't do, as it's too basic. Collies need more advanced jobs to feel truly happy and challenged. They can learn anything but will also teach you a few things along the way.    If they aren't stimulated and get bored, Collies will typically start herding anything that moves, from cars to motorbikes to kids. If you are not up for the challenge give this breed a pass, as they will keep you on your toes.",
Curly Coated Retriever,Active & Energetic Family & Kid Friendly Smart & Trainable ,32-41 kg,Low,9-14 years,Medium,Low,high,High,High,,"The Curly Coated Retriever is one of the oldest retriever breeds and is often described as having the most distinguished looks amongst all retrievers. They are bigger than other breeds and their coats have very tight small curls all over to protect them from the cold. Curly Coated Retrievers come in black or brown and have brown almond-shaped eyes.    Even though they look just like a curly-haired version of a Labrador, their heads are actually a bit pointier and they don’t have that wide Labrador smile.    Curly Coated Retrievers are also unique in many other ways. This working dog is used for a variety of jobs from hunting to pulling fishing nets out of the water, working as sled dogs or even for herding.    They are true multi-taskers as they are competent at whatever job you decide to put them on and will do it to his best of their abilities. They are also good at guarding and protecting and will eagerly take on the role of family watchdog.    Curly Coated Retrievers prefer one designated handler rather than the entire family to manage their raising and training. They tend to fixate on one person and become their shadow, and thrive praise and acknowledgment from their owner.",
Dachshund (Miniature Smooth Haired),Small & Cute Active & Energetic ,4-5 kg,Medium,14-16 years,Medium,Low,Low,Medium,High,,"Miniature Dachshunds are not only adorably cute, they are also willful little creatures on short legs.    Their very short toothpick legs and their long body give them that waddling look when they walk ... it seems like their tummy is almost rubbing on the floor!    But don't be fooled - they may look small and slow but they are an action packed dog with lots of courage, independence and endurance ... and they can run fast too! With a Miniature Dachshund, daily walks can feel more like a rabbit-sniffing adventure than actually walking.    They love food and tend to gain weight easily. This can cause health problems, but other than that they are a very hardy breed.    Mini Dachshunds are not easy to train as they love to chase and hunt, are stubborn and very smart. Any weakness they sense, they will use to their advantage. And how are you going to say 'no' to that tiny body, puppy eyes and floppy ears anyway?",
Dachshund (Standard),Small & Cute Active & Energetic Smart & Trainable Protective & Guarding ,10-15 kg,Medium,14-16 years,Short,Low,low,Medium,High,,"The Dachshund is one of the oldest breeds around and in past years has really came back into fashion. They are seen around more and more as companion dogs. Standard sized Dachshunds (or really any sized Dachshunds) love their walks. It’s not that important how long the walk is, but more how much time they get to sniff and dig around in the field – that’s what excites them the most. They are adventurers by heart and have no fear. They seem to have non-stop energy, and their outlet is sniffing, digging and chasing. The more the better, and the calmer they will be later at home. Their no fear attitude is demonstrated when you see little Dachshunds with their short legs chasing Great Danes or German Shepherds around the park. Their lack of size doesn’t deter Dachshunds, it seems like they even enjoy the challenge! Some people say ‘When a Dachshund looks in the mirror, he sees a lion.’ We couldn’t agree more.Barking is just like talking for this breed and they are absolute chatterboxes. They love to bark to get your attention, when they hear a noise, to alert you when they want a back scratch, to let you know when they are hungry or just to tell the world that they are there. Being very independent and fearless can make these little guys hard to train. They will take things into their own paws, which can become dangerous at times. They love to cuddle and to curl up on your lap, but will never just be happy doing this as they are working dogs by nature. They like to develop a special bond with their owners and are great for single households where the owner has lots of time on their hands for training and walks.",
Dalmatian,Active & Energetic ,23-25 kg,High,10-13 years,Short,Low,Average,Medium,High,,"This breed found fame through the Disney Movie '101 Dalmatians'. But it is not only the movie that made the breed well known - with their white coat and black (or brown) polka dots, Dalmatians certainly do stand out in any crowd.    This distinctive look along with playfulness, friendliness and lots and lots of energy to burn are the breed's trademarks. Dalmatians are calm and relaxed at home but once out and about, they want to run for hours. If you love jogging, bike or horse riding, they will happily participate.    Dalmatians like a pack structure but their position in the pack needs to be clear. If the rules are not clearly established, they will make their own and can become pushy, wanting to take over the household.    This, coupled with their sheer never-ending energy makes Dalmatians more suitable for experienced dog owners.",
Deerhound,Family & Kid Friendly Chilled Out & Relaxed ,39-50 kg,Medium,8-11 years,Long,Low,very high,Medium,Low,,"The Deerhound (also known as a Scottish Deerhound) is a giant dog with a rough outside and a very soft delicate nature inside. This is not only one of the largest breeds but also one of the oldest, originating in Scotland where they were traditionally used to hunt deer.    These sight hounds grow from very small, cute puppies to giant dogs that will need to learn about their own size. They generally learn this by bumping into things with their long limbs and rear-end. This is all part of learning how to operate their large body.    Deerhounds are gentle giants that are always friendly and calm and tackle everything with dignity. They tend to be more reserved towards people and other dogs. They are not aggressive or distrustful, it’s more as if they know they could hurt them with their power and the size of their body, and would rather stay away to avoid any confrontation.    As a family dog they show great potential, and are patient, loving and very tolerant towards kids. They look for constant participation and want to be amongst the pack, which is sometimes hard to manage because they are so huge. A small apartment or a small house is not going to work for this breed.    Deerhounds’ coats require low maintenance and always look shaggy. It is recommended that you brush them once in a while to keeps thing out of their coats.",
Doberman,Active & Energetic Protective & Guarding Smart & Trainable ,38-45 kg,High,10-13 years,Short,Low,Above average,High,Medium,,"Dobermans are sensible, faithful and smart dogs. They have a friendly temperament and due to their watchfulness they can easily be trained to be very good guard dogs. Early socialisation is very important for Dobermans.    Their strong and muscular build and lean stature makes them physically impressive. Dobermans are confident by nature and get very attached to their owners. They are very loyal, eager to learn and to please. Being in the Top 10 smartest dog breeds, teaching them a new trick or command is very easy.    Dobermans are sensitive and gentle and can be great with kids and other animals, when socialised with them from a very early age.    The combination of loyalty and protective instinct make Dobermans a great guard dog - if the owner wants to focus on developing this trait. Training and keeping their minds active is important for this obedient breed. With the right training, a Doberman might even be able to help with loading the washing machine or putting the kids to bed!",
Dogue De Bordeaux,Protective & Guarding Chilled Out & Relaxed ,50-68 kg,Very high,10-12 years,Short,Low,High,Low,Low,,"This breed has a facial expression for every situation - especially if they want something from you...like climbing onto your bed!    That's where they will sleep like a giant 65 kg baby, with their head on your pillow. Just cover them with a blanket and they will be entirely happy!    Dogues de Bordeaux love their owners more than anything...watch out as they may even try to curl up on your lap! Their dedication to their owners makes them a very good guard dog. They are very vary of strangers and won't let anybody through the door who they don't like.    They may not be as obedient as a Labrador or Golden Retriever, but this doesn't mean that they are not smart. They know what to do but may hesitate as they are simply evaluating what is in it for them.    Oh, and you'd better love being kissed and not mind drool if you choose a Dogue de Bordeaux, because drooling is a given with this breed.",
English Mastiff (Mastiff),Protective & Guarding Chilled Out & Relaxed ,73-100 kg,Medium,10-12 years,Short,Low,very high,Medium,Medium,,"The English Mastiff is a giant breed with a massive, strong body that was used in the past to hunt bears. Their big wide heads feature a wrinkly forehead and a black muzzle.    They are kept these days as family dogs and truly are sensitive giants who are more the defensive type than attackers. They would rather scare intruders away with their imposing bodies and sheer size than actually do physical harm to anyone.    English Mastiffs are calm, friendly and good-natured dogs that are very good observers. You will usually find them quietly lying on their bed observing the action around them. Once in a while you may hear them sigh out loud to make their feelings about a situation known. They tend to react to changes in a reserved way and will just stay back and take a minute or three to decide if they want to join in or stay out of it.    They are quite sensitive and make great watch and guard dogs. If they feel their family is in danger, they will try to scare away the perceived threat by barking and pushing their big body towards it but without attacking.    It is important that English Mastiffs have a consistent upbringing and good early training and leadership. You simply won’t be able to keep back that body mass by holding on to a lead if he really wants to go and won’t listen to you!    They have short coats that don’t require too much care. Just ensure the wrinkles on their face stay clean. Washing this giant might be a bit tricky and teaching them to have a shower with you might not be a bad idea.",
English Setter,Active & Energetic Family & Kid Friendly ,29-36 kg,Medium,10-12 years,Long,Low,high,Medium,High,,"As its name suggests, this mid-sized dog originated in England and was used by the Royal family for hunting and flushing out ducks and other wild birds. They are elegant looking and very high-energy dogs. They seem boisterous as they sometimes find it hard to contain their energy and excitement.    This breed is a friendly, gentle and well-adjusted family dog that adores children. It seems like they will never grow up or chill out as they always want to play. Even in older age they don’t seem to lose their playful spark.    English Setters are cuddly, social dogs and adjust well to any new environment. But you should never underestimate their hunting instincts…once they spot a duck they will make you aware of it by sitting or lying down but split seconds later they will be off in chase. Starting training early is important to control their drive to chase prey, but you should also allow them to be off lead sometimes to use up their energy.    The English Setter’s endurance for playing, running and romping around is endless. Running and chasing a ball at the park is the best way to release their energy. These dogs are not suitable for a city apartment, as they need space to run and rumble.    Their coat is soft like silk and a bit wavy; it does require looking after to keep silky soft, and brushing regularly is important to avoid matting.",
English Springer Spaniel,Active & Energetic Family & Kid Friendly Smart & Trainable ,23-24 kg,Medium,12-14 years,Medium,High,Average,High,High,,"What a bundle of energy the English Springer Spaniel is! The word 'springer' in their name says it all. English Springer Spaniels don't just walk, they sprint and jump through the air to get from A to B. Some people get overwhelmed by all this energy and may wish there was a 'stop' button.    They prefer to let out all their energy during walks or at any dog sport you decide to do with them.    When resting peacefully at home, Springers just love to feel cozy next to their owners. They are very eager to please and will learn anything just to get complimented on their behavior. Their sad brown eyes and long floppy ears are sure to lure a lot of treats out of your hand. But don't fall for it because their appetite can be big and it is not healthy for a Springer Spaniel to be overweight, leading to joint problems later on.    Springers choose their friends carefully. People who they like will be showered with affection, but those who aren't on their list of friends will be ignored and even bribery won't work.    The English Springer Spaniel is a great family dog that needs a job to be happy. Daily exercise is a must but we also recommend teaching them new things and enrolling in agility training to keep them content.",
English Toy Terrier (Toy Manchester Terrier),Small & Cute Active & Energetic Smart & Trainable ,2.7-3.6 kg,Medium,12-14 years,Short,Low,low,Medium,Medium,,"Some might think of the English Toy Terrier (also referred to as the Toy Manchester Terrier) as a miniature version of a Doberman or may mistake them for a Miniature Pinscher. They have the same colouring, muscular look, shiny coat and long pointy face as a Doberman, but are much smaller. And they are certainly as brave as Dobermans! But other than that they are typical terriers.    English Toy Terriers are alert, stubborn and fearless. They needed all these characteristics when in the past they were used to chase and kill rodents. Many people have heard of this breed through the story of the Pied Piper of Hamelin. They were also used as entertainers of fine ladies back in the old days!    Today English Toy Terriers are still natural entertainers and like to perform and please their owners. They are easy to train and love learning new things. They might be small - with a max weight of 3.5kg - and their size will not scare away anybody. But, hearing their bark alone, any intruder is likely to think that there’s a big scary dog fiercely guarding your house! Barking is quite common for this breed and therefore they are not recommended as an apartment dog.    This breed is quite rare to find and finding a good breeder is essential.",
Field Spaniel,Active & Energetic Family & Kid Friendly Smart & Trainable ,16-20,Medium,10-12,Medium,Medium,65,High,High,,"The Field Spaniel is not as common these days as its breed brother, the Cocker Spaniel. Like all Spaniel breeds, Field Spaniels adore children and also love to jump up on them. You can be sure you that you will always be greeted with a jump and a kiss on your cheek when you come home if you have a Field Spaniel!    This is a hunting breed, but it never becomes an issue when they are kept as family dogs. They make perfect city and family dogs, displaying great manners towards children and other dogs. They are full of energy and love to run around in any type of weather.    Field Spaniels will happily spend hours retrieving the ball for the kids. Their favorite task though is when someone throws the ball into the bushes, and they need to search for it. This is when their working dog tenacity comes through and their hearts will fill up with pure happiness when they eventually find it. They will then come bounding back to you like they just won Lotto!    They are easy to train and keen to please all family members alike.    To avoid matting of their very fine coats, daily brushing is a must.",
Finnish Spitz,Active & Energetic ,12-13 kg,High,12-14 years,Medium,Low,low,Medium,High,,"The Finnish Spitz, Finland’s national dog, is an excellent hunter. Finnish Spitzes prefer outdoor living and love their freedom. They adore colder temperatures and like to live on the wild side. They enjoy any outdoor action - from chasing birds in the backyard to ensuring that nobody comes close to the property. To be happy, Finnish Spitzes need cold fresh air and space to roam free. The best activities for them include outdoor activities like forest runs, bush tracking and hunting. Adjusting to city life would be incredibly hard for this breed and is not recommended. Finnish Spitzes are true watchdogs and love their own voice, and, if confined, they may end up sitting in your backyard barking at the birds for hours. They will be happy with an owner who has time for them, will give them enough exercise and stimulation and doesn’t mind the barking. They don’t require any special brushing or grooming.",
Flat Coated Retriever,Active & Energetic Family & Kid Friendly Smart & Trainable ,27-36 kg,Medium,8-10 years,Medium,Medium,high,High,High,,"The Flat-Coated Retriever looks like a cross between a Golden Retriever and a Labrador, in black or brown colours. But they are actually not cross breeds at all. They have quite a long history, and were used for hunting and retrieving waterfowl for decades before making it into our family homes. Their temperament a similar to a Golden Retriever, but with triple the amount of energy, playfulness and endurance. They are powerful adventurers and are naturally inquisitive. Their love and affection for their owners motivates this breed to always perform their best. Flat-Coated Retrievers are fast athletes that do well at any kind of action-packed dog sports like Agility or Fly Ball. When joining a family as a pet, this dog is sure to exhaust the children through playing ball with them for hours, but once your kids are resting he will want to move on and do something else. Make sure you have enough time to let him burn off all that energy. This breed is very trainable, intelligent and quite attentive towards their owners. Their thick flat coat makes them resilient to any kind of rough weather. If you feel like going on a kayak trip and want to take your dog with you, you might just have found the right dog breed. He sure will retrieve you back to land if you fall into water and is more than capable of doing so!",
Foxhound (English/ American),Active & Energetic ,29-34 kg,Medium,10-12 years,Short,Low,high,Medium,Medium,,"There are two Foxhound breeds - the American Foxhound and the English Foxhound. These breeds are related to each other and only display minor differences in looks and temperament, with American Foxhounds being a bit slimmer in build. Both types of Foxhounds have been bred for hunting and make excellent hunters, who can chase prey for hours. They are best kept as hunting dogs as they are not well suited to just being family dogs. They can hunt for up to six hours in one go and their sheer energy is amazing. As a pure pet you simply cannot guarantee that your Foxhound will get the amount of exercise and mental stimulation they need to be happy. The American Foxhound is the faster and more agile hunter.English Foxhounds are also known for their love, devotion and closeness to their owners. They are friendly and loving towards both other dogs and humans. American Foxhounds, on the other hand, have a mind of their own and can be either wary of strangers or over-the-top loving. It all depends on the person they meet and if they feel the need to protect their owner from them. With both Foxhound breeds, their coat is easy to maintain, requiring only a brush and wash once in a while.",
Fox Terrier,Active & Energetic ,7-8 kg,Medium,12-14 years,Medium,Low,Below average,Medium,Medium,,"Fox Terriers are true terriers: brave, intelligent, explosive and full of action. They may look like lap dogs but they certainly aren't - they want as much adventure as possible. This includes roughing it with you or other dogs and investigating new things. They are always open to trying out new activities.    Fox Terriers come as either wire haired or with a smooth coat. But both are playful and boisterous and will stay so until old age. They have a mind of their own and can be hard to train. To get your partnership off to the right start it is important to use lots of motivation and consequences in their upbringing.    Fox Terriers play rough with other dogs and early socialisation is of upmost importance. You will also need to show them that there are limits in rough play before so they don't become bullies in the dog park.    You Foxy will love to protect its home and owner and will alert the neighbourhood of any new arrival at your door - maybe a little too loudly sometimes!",
French Bulldog,Small & Cute Family & Kid Friendly Chilled Out & Relaxed ,10-13 kg,Very high,12-16 years,Short,Low,Below average,Medium,Medium,,"If you're after a dog that is small, strong, intelligent and loyal, a French Bulldog might be just right for you. Their adorable squished faces, poking up ears and wobbly walking style, paired with their joyful character, are ideal for a person wanting a companion dog with entertainment qualities.    French Bulldogs bond quite closely with their owners. They adapt well to their owner's lifestyle and are therefore a very popular breed, suitable for older people, families or adult households alike.    What they don't like is being left alone without any company, so if you go on holiday it's best you take them with you.    French Bulldogs can be quite boisterous and they love a good rumble. But they also enjoy long naps, and you can often hear them snoring away for hours.    Due to this breed's increasing popularity, breeding standards are not always met and as a consequence health risks are quite high.",
German Pinscher,Active & Energetic Smart & Trainable ,14-20 kg,Medium,12-14 years,Short,Low,average,High,High,,"Autonomy and individuality are the best ways to describe this breed. German Pinschers are pack animals that adore their families and watch over them but are also independent and like to do things their own way. They are easy to train as they are quite intelligent, but this breed is not recommended for first time dog owners as new dog owners might find it hard to tame their sense of autonomy. Nothing misses a German Pinscher’s watchful eye and they will give out a short sharp bark when they decide that something is not right. Good socialization and early training can stop them from becoming annoying barkers. If they are trained well, get plenty of exercise and play with other dogs, they can be suitable for apartment living. If you are into running or cycling, they can make great exercise companions, as they will love every outing and exercise adventure. They are also happy to participate in agility or other dog sports. Their short slick hair is easy to maintain. A brush and wash once in a while is all that is required.",
German Shepherd Dog,Active & Energetic Protective & Guarding Smart & Trainable ,22-32 kg,Medium,10-14 years,Medium,Medium,Average,Very high,High,,"Smarts, endurance, outstanding work ethic, alertness and intelligence are just a few attributes of the German Shepherd.    German Shepherds have a unique instinct to protect. This instinct combined with a level-headed temperament and a good self-esteem make them an ideal service dogs for security, police and military work.    Due to their intelligence and great temperament they are all-rounders that can be trained for any kind of work. You will often see them used as service dogs for the blind or therapy dogs for disabled children.    This breed is can make the ideal family dog when given enough stimulation and daily exercise. Walking around your neighborhood won't be enough - German Shepherds also need mental stimulation. Incorporate training sessions with each outing or train them to help you around the house so they can have a service roll within your family home.",
German Shorthaired Pointer,Active & Energetic Smart & Trainable ,25-32 kg,Medium,12-15 years,Short,Low,Average,Very high,High,,"German Shorthair Pointers are very affectionate dogs, very keen learners and always motivated to please. However, they can sometimes seem a little aloof due to their soft and sensible nature.    German Shorthair Pointers are perfect for the very active family. They are happiest with a person by their side 24/7.    They love and adore kids of any age, but require lots of energy-burning activities on a daily basis. For this reason, they might not suit a family with very young children or who don't have enough time for a dog.    German Shorthair Pointers are great all-rounders. If you're into agility or any dog sport, they'll be there to please and show off. And as long as their daily activity levels are met, they are also happy to chill on the couch with you for hours.    They are big cuddle machines that won't leave your side unless they see an opportunity to chase. They are hunting dogs by nature and will point and retrieve whenever they get a chance.    Their health issues are low but this breed is prone to skin conditions and allergies.",
German Spitz (Mittel & Klein),Small & Cute Active & Energetic ,7-18 kg,Medium,13-15 years,Long,Low,low,High,Medium,,"The German Spitz is an easy to look after dog that has great smarts and loves to be around its owner. It sounds like the perfect dog - and if you need a dog that sounds an alarm the second anything moves close to your house – it will be! German Spitz take their job as watch dogs seriously, and will quickly alert you to any disturbance. Because they are so noisy, they do not make great apartment dogs. They are also fans of the outdoors, and therefore a big backyard is a must. They are adventurous and love long walks through the bush and wilderness. They will stay near you but not necessarily by your side, and will keep you great company on any outdoor adventure. German Spitz are loyal companions to their families and are sure to pick out a favourite family member. They are suspicious of strangers, but once they get to know them they will show them affection. They have a spunky and energetic personality, and a great sense of humour and all they want is to share is their happiness. They have an independent spirit but yet love to be part of every family activity. They do not like being left by themselves in the backyard. Spitz get bored easily and need mental stimulation and consistent training, as they like to push boundaries.. Spitz are very versatile and thrive in dog sports such as Agility, trick training and scenting sports.Their fluffy coats are easier to look after than one would think, and this breed loves to keep themselves clean. They come in a variety of colours and sizes from small to medium.",
German Wirehaired Pointer,Active & Energetic Smart & Trainable ,27-31 kg,Medium,12-14 years,Medium,Medium,high,High,High,,"The German Wirehaired Pointer is a breed that is commonly owned by people who like to hunt game, or wildlife rangers. They are working dogs that excel at finding and retrieving game. German Wirehaired Pointers are tough dogs that can withstand bad weather, have immense energy and great durability. Their dense wirehair protects them from injuries when working in the field or bush. Those attributes, paired with a fearless temperament, make them perfect for hunting. They are only mildly suitable as family dogs as they require a great amount of exercise, which just can’t be given by most families. To be truly happy as a family dog, they would need to be taken on daily power runs and be given regular mental challenges to complete. German Wirehaired Pointers will adapt to their owners, who they want to please at all times. They are bright and keen learners, but have their own minds and consistent upbringing is required. Compared to The German Shorthaired Pointer, this breed has a more robust temperament and isn’t as aloof. They also don’t get nervous or anxious as easily when situations and environments change. This breed is not recommended at all for apartment living. They are good with children and other dogs in the house but need to be well socialised to smaller pets.",
